title,label,reason
"收评：创业板指涨3.14% 算力产业链相关板块均有较大幅度上涨",NOT_CATALYST,MARKET_RECAP
"模拟芯片，爆发！储能板块，大涨！",NOT_CATALYST,MARKET_RECAP
"电科芯片聘任邹镇为董事会秘书 任期至本届董事会届满",NOT_CATALYST,ROUTINE_GOVERNANCE
"A股午评 | 多重因素交织扰动 指数分化沪指半日跌0.71% 存储芯片股活跃",NOT_CATALYST,MARKET_RECAP
"中邮证券-北方华创-002371-集成电路装备高增长，战略并购驱动全链技术协同-250915",NOT_CATALYST,BROKER_OPINION
"市值一日蒸发近60亿！预亏超8亿！“AI芯片第一股”怎么了？",CATALYST_RELEVANT,DIRECT_COMPONENT_FUNDAMENTAL
"算力也是“硬通货” 农业银行打造“Token贷”“算力账”等金融产品和信贷评价模型",NOT_CATALYST,SEMANTIC_COLLISION
"TCL科技大手笔合建295亿OLED项目   半导体显示业务持续完善占营收67.26%",NOT_CATALYST,DISTANT_INDUSTRY_EXPOSURE
"多只美股ETF加仓中国芯片股，长鑫科技、兆易创新获海外资本增配",CATALYST_RELEVANT,SECTOR_CAPITAL_ALLOCATION
"中原证券-菲利华-300395-2025年中报点评：半导体军工需求回暖，电子石英布受益算力建设有望高成长-250915",NOT_CATALYST,BROKER_OPINION
"半导体又迎涨价潮，朗科科技20cm涨停",CATALYST_RELEVANT,INDUSTRY_PRICE_CHANGE
"科创板全国首例，紫晶存储案已由法院受理",NOT_CATALYST,SINGLE_NAME_LEGAL
"AI服务器需求增加带动离型膜扩产 洁美科技追加4.28亿元投建华北产研总部基地 | 速读公告",CATALYST_RELEVANT,DEMAND_AND_CAPACITY
"国泰海通：海光开放互联总线 国产算力生态加速统一",NOT_CATALYST,BROKER_OPINION
"A股超2700股上涨，半导体爆发，贵金属概念全线重挫，港股兆易创新飙涨16%",NOT_CATALYST,MARKET_RECAP
"【每日收评】创业板指震荡走高涨超3%，全市场逾百股涨停，半导体、算力硬件等科技赛道爆发",NOT_CATALYST,MARKET_RECAP
"模拟芯片公司普涨：上海贝岭一字封板，圣邦股份午后涨停",NOT_CATALYST,MARKET_RECAP
"“越跌越买” 诺安基金“举牌”卓胜微 蔡嵩松逆势加仓意在芯卓半导体？",CATALYST_RELEVANT,SECTOR_CAPITAL_ALLOCATION
"CPO板块集体爆发，太辰光20CM涨停，机构：AI基础设施从“算力堆叠”进入“互联效率竞争”新阶段",NOT_CATALYST,MARKET_RECAP
"A股放量普涨、科创50收涨4.14%，南方基金旗下司南投顾关注AI硬件反弹中的配置平衡",NOT_CATALYST,MARKET_RECAP
"收评：创指探底回升涨1.41% 存储芯片板块强势领涨",NOT_CATALYST,MARKET_RECAP
"科创板首例：紫晶存储被告证券欺诈赔偿 上海金融法院已受理",NOT_CATALYST,SINGLE_NAME_LEGAL_DUPLICATE
"突发闪崩:730亿芯片龙头兆易创新盘中跌停 12万股东炸锅",NOT_CATALYST,MARKET_RECAP
"收评：创业板指探底回升涨1.41% 半导体板块走强",NOT_CATALYST,MARKET_RECAP
"英派斯拟1亿元参设体育产业投资基金 聚焦人工智能等智能化方向",NOT_CATALYST,DISTANT_INDUSTRY_EXPOSURE
"国海证券：数据中心带动液冷需求增长 关注上游核心冷媒材料",NOT_CATALYST,BROKER_OPINION
"宇树科技8月19日登陆科创板",NOT_CATALYST,NON_CONSTITUENT_LISTING
"一彬科技斥资1.6亿元战略投资上海传芯半导体 共获9.4088%股权",CATALYST_RELEVANT,SEMICONDUCTOR_INVESTMENT
"迈瑞医疗携手腾讯探索医疗大模型应用",NOT_CATALYST,DISTANT_INDUSTRY_EXPOSURE
"南网科技以科技创新促进电力能源系统清洁化和智能化发展",NOT_CATALYST,GENERIC_TECHNOLOGY_TERM

